Member,,"TOTAL ALLOWANCES CLAIMED, INC TRAVEL","TOTAL BASIC ALLOWANCES, EXC TRAVEL",TOTAL TRAVEL CLAIMED,Cost of staying away from main home,London supplement,Office running costs,Staffing costs,Centrally purchased stationery,Stationery associated postage costs,Central IT provision,Staff cover and other costs,Comms allowance,Mileage,MP Rail,MP Air,MP Misc (see notes),MP other Mileage,MP other Rail,MP other Air,MP other European,Spouse Total,No. of Journeys,Family Total,No. of Journeys,Employee Total,No. of Journeys
Moon,Mrs Madeleine,161729,149504,12225,22902,0,18994,93206,910,2182,1023,0,10287,1749,7586,0,43,122,173,0,0,867,10,0,0,1685,14
Campbell,Mr Ronnie,161713,146457,15256,23083,0,20824,90455,353,1427,1093,0,9222,5653,5159,119,12,0,355,0,0,3454,26,0,0,504,4
Pope,Mr Greg,161688,142799,18889,22211,0,24662,86275,353,1282,1350,0,6666,4023,8513,2355,456,0,0,0,0,3201,19,0,0,341,4
Vaz,Rt Hon Keith,161358,146584,14774,20787,0,26308,82637,1612,4484,1329,0,9427,8444,2165,0,0,278,169,280,2410,750,20,48,1,230,10
Davies,Philip,161300,149442,11858,23083,0,19985,90257,1002,3276,1107,0,10732,1680,9852,0,0,0,0,132,0,0,0,0,0,194,6
Turner,Mr Neil,161218,148106,13112,22979,0,16977,93551,1427,4360,1200,0,7612,2480,8935,0,0,487,0,0,0,1210,8,0,0,0,0
Browne,Mr Jeremy,161136,152260,8876,23074,0,19662,90251,1965,4989,1114,0,11205,2344,5997,0,0,0,0,0,0,131,0,0,0,404,7
McFall,Rt Hon John,161121,144809,16312,22832,0,16926,92230,628,1080,1220,0,9893,4049,1408,8135,201,0,0,0,0,2372,23,0,0,147,1
Donaldson,Rt Hon Jeffrey M.,161095,141279,19816,20342,0,20758,89492,1169,3176,982,0,5360,102,1209,15150,0,0,0,0,1667,854,4,834,4,0,0
Steen,Mr Anthony,160957,149787,11170,23083,0,14371,91679,897,2449,1413,4664,11231,4683,3438,0,631,0,0,0,0,1482,30,0,0,936,12
Harris,Dr Evan,160923,148589,12334,23081,0,24955,86888,617,1700,1348,0,10000,4425,5976,186,871,0,102,681,0,0,0,0,0,93,6
Hain,Rt Hon Peter,160826,151982,8844,23083,0,19226,91415,981,3367,1421,3112,9377,1489,3515,0,0,0,0,0,0,2957,23,0,0,883,12
Barker,Gregory,160630,154213,6417,21700,0,25056,92391,1024,4047,1262,0,8733,2746,466,0,0,22,1660,262,979,0,0,0,0,282,18
Wilshire,Mr David,160542,153250,7292,23083,0,25039,86476,1985,4999,1341,0,10327,6655,0,0,244,150,83,0,0,0,0,0,0,160,24
Harvey,Nick,160492,149241,11251,23036,0,21278,90449,952,2318,1374,0,9834,5904,3986,0,306,0,0,0,0,210,2,8,1,837,16
Moran,Margaret,160467,150297,10170,22343,0,17665,94101,1671,3492,1477,0,9548,8007,0,0,699,0,0,0,0,1152,0,0,0,312,16
Farron,Tim,160433,143944,16489,23050,0,25617,81776,1165,2543,1138,0,8655,4456,10703,0,24,0,0,0,0,0,0,180,4,1126,16
Jones,Mr Kevan,160365,144841,15524,23083,0,18785,90189,536,3300,1348,0,7600,4218,4093,6702,32,0,172,0,0,0,0,0,0,307,5
Sheerman,Mr Barry,160353,147216,13137,23083,0,19583,92261,579,2429,1256,0,8025,6665,4373,0,0,0,0,0,0,1730,22,0,0,369,7
Smith,Sir Robert,160316,139101,21215,19039,0,19137,86309,465,1108,1486,0,11557,3183,1061,12972,1318,0,0,0,0,468,2,1345,2,868,4
Reid,Rt Hon John,160209,145925,14284,23083,0,29979,85497,358,1261,1488,0,4259,0,1300,8560,0,0,0,0,0,1467,10,0,0,2957,21
Davies,David T. C.,160198,147743,12455,23020,0,23056,81646,525,1360,1039,0,17097,4138,5889,0,927,496,0,309,0,208,2,0,0,488,9
Simpson,Mr Keith,160087,152933,7154,22076,0,20123,81686,527,1817,1499,5779,19426,6134,360,0,0,0,0,0,0,639,16,21,2,0,0
Mountford,Kali,160015,140633,19382,23083,0,23791,85535,897,300,1261,0,5766,7816,6414,0,0,0,0,0,0,4692,30,0,0,460,4
Duddridge,James,160005,156040,3965,22975,0,19788,90280,1465,5237,1290,7646,7359,3030,751,0,10,0,0,0,0,0,0,0,0,174,16
Cawsey,Mr Ian,159935,147938,11997,18050,0,21700,85872,1770,4191,1166,5235,9954,4284,6709,0,472,0,17,0,0,0,0,0,0,515,4
Ruane,Chris,159935,152680,7255,23076,0,17548,94240,1030,5441,1345,0,10000,4723,1509,0,0,0,0,0,0,540,8,93,4,390,8
McCrea,Rev Dr William,159852,141724,18128,20904,0,30247,86875,627,2027,1044,0,0,0,2865,14623,0,0,0,0,0,640,3,0,0,0,0
Humble,Mrs Joan,159703,143792,15911,23083,0,19205,89148,510,1246,1090,0,9510,1680,12557,183,66,0,0,0,0,707,6,0,0,718,4
Gidley,Sandra,159636,154005,5631,22497,0,21283,92344,1566,3936,1445,1000,9934,1845,2570,0,110,0,893,61,0,31,4,0,0,121,8
Goldsworthy,Julia,159325,148135,11190,21576,0,21648,90195,1129,3246,1015,0,9326,2788,7232,181,52,0,344,0,0,0,0,0,0,593,14
Keetch,Mr Paul,159155,144240,14915,23083,0,27344,84273,675,1918,1353,0,5594,4606,7273,0,0,0,0,0,0,2066,22,112,2,858,10
Crabb,Mr Stephen,159121,147373,11748,22243,0,25447,85390,755,2136,1104,1707,8591,5976,3995,0,185,10,29,0,0,974,14,36,2,543,6
Simon,Mr SiÃÂ´n,158992,146808,12184,22975,0,26006,82136,2035,4908,1155,0,7593,0,9000,0,0,0,0,0,442,0,0,803,22,1939,24
Simpson,David,158903,131554,27349,21770,0,21091,83001,482,1433,1101,0,2676,1400,1747,18724,0,0,0,0,1667,2739,12,865,4,207,7
Webb,Prof Steve,158796,150397,8399,22913,0,18461,93370,996,3365,1308,0,9984,1204,6558,0,563,0,0,0,0,0,2,0,0,74,2
Flint,Rt Hon Caroline,158773,147464,11309,20861,0,19114,89319,1269,5730,1591,0,9580,1548,7370,0,0,0,0,0,0,2391,25,0,0,0,0
Bone,Mr Peter,158669,152314,6355,23061,0,17240,94600,1519,4890,1065,0,9939,4066,854,0,52,0,25,0,0,641,15,121,6,596,24
Campbell,Mr Alan,158648,141057,17591,21188,0,23761,78998,1519,2452,1288,0,11851,4020,11925,508,0,0,0,0,0,0,0,0,0,1138,5
Roy,Mr Frank,158637,140675,17962,21365,0,19052,89612,693,1208,1165,0,7580,3786,1736,8987,1591,0,0,0,0,357,2,0,0,1505,12
Gibb,Mr Nick,158541,149013,9528,23053,0,12941,90191,668,2025,1364,18771,0,7216,0,0,244,916,51,1101,0,0,0,0,0,0,0
Grogan,Mr John,158477,143148,15329,23083,0,20757,91086,830,3758,1414,0,2220,2740,9001,971,0,0,476,425,512,0,0,0,0,1204,22
Griffith,Nia,158429,147090,11339,22911,0,18403,91165,529,820,987,0,12275,1680,8169,0,18,0,0,0,1249,0,0,0,0,223,8
Cryer,Mrs Ann,158190,145838,12352,19765,0,20269,91316,1845,2989,1350,0,8304,1351,9306,329,0,0,0,0,0,0,0,0,0,1366,12
Blackman-Woods,Dr Roberta,158136,143722,14414,23041,0,19063,84254,2251,2116,1124,0,11873,1680,11741,441,13,0,0,0,0,409,7,0,0,130,1
Griffiths,Nigel,158067,142149,15918,15943,0,23461,81799,1022,5215,1445,0,13264,0,2825,12926,0,0,0,0,0,167,2,0,0,0,0
Burgon,Colin,157931,147197,10734,22500,0,20433,89870,783,1530,1215,0,10866,4143,5403,0,0,0,0,0,0,0,0,545,6,643,6
Younger-Ross,Richard,157841,144449,13392,22228,0,29819,78978,1482,274,1148,0,10520,4396,5596,0,16,0,140,0,0,2386,20,0,0,858,8
